txn_id,timestamp,from_acct,to_acct,amount,anomaly_type,label
T22272,2024-03-25 10:20:00,A0491,A0491,8761.32,self_loop,1
T11485,2024-03-26 09:43:00,A0150,A0306,6586.06,normal,0
T6841,2024-03-26 14:44:00,A0360,A0433,6407.41,normal,0
T7649,2024-03-27 11:43:00,A0449,A0174,4383.25,normal,0
T13795,2024-03-27 12:39:00,A0004,A0436,2829.24,normal,0
T6740,2024-03-27 17:30:00,A0229,A0444,3396.13,normal,0
T16356,2024-03-27 19:26:00,A0029,A0142,1898.01,normal,0
T452,2024-03-28 12:56:00,A0180,A0132,7891.5,normal,0
T4867,2024-03-29 16:56:00,A0300,A0077,1235.85,normal,0
T22921,2024-03-31 03:36:00,A0491,A0294,2675.92,after_hours,1
T22937,2024-03-31 03:51:00,A0111,A0200,1179.35,after_hours,1
T13019,2024-03-31 10:30:00,A0148,A0101,1071.21,normal,0
T1681,2024-03-31 13:41:00,A0186,A0175,5064.41,normal,0
T15060,2024-03-31 15:25:00,A0209,A0023,1754.32,normal,0
T23302,2024-03-31 15:40:00,A0367,A0104,4351.2,after_hours,1
T15556,2024-03-31 16:06:00,A0294,A0189,5041.79,normal,0
T7783,2024-03-31 16:32:00,A0307,A0311,7065.86,normal,0
T23103,2024-03-31 16:42:00,A0303,A0132,2899.28,after_hours,1
T11214,2024-03-31 17:09:00,A0257,A0265,7136.18,normal,0
T24319,2024-03-31 17:20:00,A0175,A0465,9835.86,structuring,1
T9930,2024-03-31 17:24:00,A0273,A0305,6168.49,normal,0
T3903,2024-03-31 18:09:00,A0464,A0085,7197.35,normal,0
T15711,2024-03-31 19:29:00,A0277,A0474,3483.6,normal,0
T534,2024-03-31 19:40:00,A0212,A0019,5615.6,normal,0
T4568,2024-03-31 20:50:00,A0264,A0161,3224.97,normal,0
T23147,2024-03-31 20:54:00,A0072,A0378,1359.47,after_hours,1
T17503,2024-03-31 23:02:00,A0102,A0139,1968.97,normal,0
T13187,2024-03-31 23:19:00,A0282,A0094,889.63,normal,0
T23812,2024-04-01 00:02:00,A0491,A0243,8192.78,after_hours,1
T23343,2024-04-01 00:04:00,A0378,A0444,5896.17,after_hours,1
T23974,2024-04-01 00:38:00,A0004,A0095,3704.69,after_hours,1
T22959,2024-04-01 00:49:00,A0303,A0157,2369.24,after_hours,1
T23884,2024-04-01 03:17:00,A0358,A0378,8859.58,after_hours,1
T22963,2024-04-01 03:18:00,A0195,A0184,7093.35,after_hours,1
T23137,2024-04-01 03:52:00,A0358,A0261,8039.37,after_hours,1
T23200,2024-04-01 04:11:00,A0126,A0443,8796.64,after_hours,1
T23169,2024-04-01 04:54:00,A0413,A0414,6253.9,after_hours,1
T23732,2024-04-01 05:50:00,A0072,A0215,8876.97,after_hours,1
T7645,2024-04-01 06:04:00,A0431,A0254,5447.84,normal,0
T21879,2024-04-01 06:35:00,A0230,A0230,5267.39,self_loop,1
T14227,2024-04-01 08:05:00,A0017,A0433,8095.0,normal,0
T22233,2024-04-01 08:16:00,A0491,A0491,1270.18,self_loop,1
T19648,2024-04-01 08:21:00,A0358,A0053,7768.31,circular_flow,1
T19647,2024-04-01 08:21:00,A0328,A0358,7868.31,circular_flow,1
T19649,2024-04-01 08:21:00,A0053,A0328,7668.31,circular_flow,1
T6568,2024-04-01 08:28:00,A0136,A0280,6274.83,normal,0
T1715,2024-04-01 08:34:00,A0238,A0147,8278.77,normal,0
T13377,2024-04-01 08:52:00,A0002,A0453,6955.71,normal,0
T19279,2024-04-01 09:17:00,A0304,A0258,9156.49,normal,0
T13569,2024-04-01 09:20:00,A0287,A0059,1557.69,normal,0
T5927,2024-04-01 09:22:00,A0320,A0145,1066.92,normal,0
T8617,2024-04-01 09:23:00,A0331,A0040,8950.52,normal,0
T5675,2024-04-01 09:23:00,A0156,A0004,4998.96,normal,0
T2541,2024-04-01 09:27:00,A0095,A0118,1839.72,normal,0
T19534,2024-04-01 09:34:00,A0244,A0407,2255.7,normal,0
T18116,2024-04-01 09:35:00,A0024,A0130,7683.3,normal,0
T17508,2024-04-01 10:10:00,A0199,A0209,322.98,normal,0
T10323,2024-04-01 10:10:00,A0455,A0433,2487.18,normal,0
T17069,2024-04-01 10:18:00,A0258,A0442,6159.15,normal,0
T14656,2024-04-01 10:21:00,A0125,A0416,5339.65,normal,0
T24707,2024-04-01 10:29:00,A0391,A0090,9413.34,structuring,1
T13579,2024-04-01 10:41:00,A0353,A0237,3211.09,normal,0
T11010,2024-04-01 10:47:00,A0117,A0362,1615.5,normal,0
T18884,2024-04-01 10:50:00,A0268,A0382,6737.57,normal,0
T19324,2024-04-01 11:06:00,A0461,A0075,5027.46,normal,0
T18936,2024-04-01 11:09:00,A0215,A0184,2905.28,normal,0
T2606,2024-04-01 11:13:00,A0354,A0460,5831.88,normal,0
T7072,2024-04-01 11:18:00,A0217,A0123,2178.51,normal,0
T1655,2024-04-01 11:19:00,A0312,A0102,6918.3,normal,0
T4487,2024-04-01 11:26:00,A0143,A0038,9330.36,normal,0
T18514,2024-04-01 11:32:00,A0121,A0325,4757.81,normal,0
T24138,2024-04-01 11:51:00,A0045,A0403,9498.39,structuring,1
T2862,2024-04-01 12:05:00,A0442,A0461,5999.73,normal,0
T8749,2024-04-01 12:06:00,A0065,A0325,5310.45,normal,0
T14972,2024-04-01 12:26:00,A0482,A0394,7432.47,normal,0
T8226,2024-04-01 12:27:00,A0071,A0459,9512.79,normal,0
T22215,2024-04-01 12:39:00,A0457,A0457,7614.04,self_loop,1
T4763,2024-04-01 12:40:00,A0301,A0022,1930.92,normal,0
T16348,2024-04-01 12:47:00,A0004,A0105,8806.8,normal,0
T13987,2024-04-01 12:47:00,A0299,A0420,4456.37,normal,0
T4783,2024-04-01 12:47:00,A0258,A0198,5660.06,normal,0
T7746,2024-04-01 12:52:00,A0161,A0297,7133.07,normal,0
T1227,2024-04-01 12:56:00,A0448,A0170,8082.08,normal,0
T18252,2024-04-01 12:59:00,A0494,A0033,1490.33,normal,0
T15685,2024-04-01 13:05:00,A0316,A0371,8156.47,normal,0
T2490,2024-04-01 13:06:00,A0323,A0022,5512.37,normal,0
T22158,2024-04-01 13:15:00,A0303,A0303,5825.36,self_loop,1
T21402,2024-04-01 13:17:00,A0014,A0014,5022.67,self_loop,1
T11837,2024-04-01 13:18:00,A0225,A0095,2224.49,normal,0
T18747,2024-04-01 13:41:00,A0036,A0143,5762.21,normal,0
T1324,2024-04-01 13:56:00,A0311,A0140,2148.55,normal,0
T8123,2024-04-01 14:05:00,A0124,A0388,8287.03,normal,0
T13502,2024-04-01 14:21:00,A0213,A0458,2469.1,normal,0
T6894,2024-04-01 14:29:00,A0066,A0027,2824.49,normal,0
T6434,2024-04-01 14:34:00,A0383,A0194,6439.27,normal,0
T15539,2024-04-01 14:45:00,A0213,A0448,4892.75,normal,0
T7079,2024-04-01 14:53:00,A0062,A0311,576.75,normal,0
T18580,2024-04-01 14:58:00,A0493,A0152,8099.71,normal,0
T21813,2024-04-01 14:58:00,A0302,A0302,7338.72,self_loop,1
T1466,2024-04-01 15:06:00,A0138,A0254,2136.48,normal,0
T16753,2024-04-01 15:18:00,A0372,A0094,3080.79,normal,0
T18713,2024-04-01 15:29:00,A0139,A0118,2353.43,normal,0
T5534,2024-04-01 15:37:00,A0380,A0347,5149.57,normal,0
T21169,2024-04-01 15:50:00,A0013,A0013,1292.26,self_loop,1
T22108,2024-04-01 15:51:00,A0120,A0120,1774.08,self_loop,1
T10550,2024-04-01 15:54:00,A0061,A0372,6900.63,normal,0
T11002,2024-04-01 15:56:00,A0221,A0377,6808.16,normal,0
T2748,2024-04-01 15:59:00,A0347,A0430,4766.4,normal,0
T9709,2024-04-01 15:59:00,A0363,A0150,9809.76,normal,0
T16880,2024-04-01 16:05:00,A0356,A0351,7058.44,normal,0
T16181,2024-04-01 16:17:00,A0092,A0069,911.29,normal,0
T3251,2024-04-01 16:24:00,A0389,A0296,3821.68,normal,0
T9914,2024-04-01 16:30:00,A0171,A0127,7851.03,normal,0
T22112,2024-04-01 16:31:00,A0017,A0017,2413.21,self_loop,1
T19736,2024-04-01 16:44:00,A0367,A0120,6786.82,circular_flow,1
T19734,2024-04-01 16:44:00,A0120,A0457,6986.82,circular_flow,1
T19735,2024-04-01 16:44:00,A0457,A0367,6886.82,circular_flow,1
T25143,2024-04-01 16:48:00,A0045,A0278,9772.6,structuring,1
T7495,2024-04-01 17:14:00,A0233,A0030,2180.74,normal,0
T12529,2024-04-01 17:25:00,A0483,A0073,5487.52,normal,0
T12991,2024-04-01 17:30:00,A0214,A0188,7385.48,normal,0
T19344,2024-04-01 17:32:00,A0330,A0473,1166.41,normal,0
T13405,2024-04-01 17:34:00,A0329,A0327,485.2,normal,0
T24479,2024-04-01 17:36:00,A0072,A0087,9171.95,structuring,1
T9897,2024-04-01 17:54:00,A0338,A0080,4214.33,normal,0
T10957,2024-04-01 18:35:00,A0184,A0320,8302.37,normal,0
T24276,2024-04-01 18:48:00,A0378,A0111,9342.58,structuring,1
T4152,2024-04-01 20:19:00,A0472,A0044,7004.34,normal,0
T16887,2024-04-01 20:44:00,A0371,A0250,4021.99,normal,0
T21949,2024-04-01 20:48:00,A0328,A0328,4048.97,self_loop,1
T23396,2024-04-02 00:13:00,A0215,A0401,8772.44,after_hours,1
T23757,2024-04-02 00:32:00,A0215,A0146,1723.36,after_hours,1
